Year,Storm,Landfall Time (UTC),BT Lat,BTLon,SSHWS
2004,Bonnie,1400 AUG 12,29.6,-85.1,TS
2004,Charley,2045 AUG 13,26.9,-82.1,4
2004,Frances,0430 SEP 05,27.2,-80.2,2
2004,Gaston,1400 AUG 29,33,-79.6,1
2004,Hermine,0600 AUG 31,41.5,-70.9,TS
2004,Ivan,0650 SEP 16,30.2,-87.9,3
2004,Jeanne,0400 SEP 26,27.2,-80.2,3
2004,Matthew,1100 OCT 10,29.2,-91,TS
2005,Arlene,1900 JUN 11,30.3,-87.5,TS
2005,Cindy,0300 JUL 06,29.2,-90.1,1
2005,Dennis,1930 JUL 10,30.4,-87.1,3
2005,Katrina-1,2230 AUG 25,26,-80.1,1
2005,Katrina-2,1110 AUG 29,29.3,-89.6,3
2005,Rita,0740 SEP 24,29.7,-93.7,3
2005,Tammy,2300 OCT 05,30.4,-81.4,TS
2005,Wilma,1030 OCT24,25.9,-81.7,1
2006,Alberto,1630 JUN 13,29.9,-83.7,TS
2006,Beryl,0645 JUL 21,41.3,-70.1,TS
2006,Ernesto,0300 AUG 30,24.9,-80.6,1
2007,Barry,1400 JUN 02,27.5,-82.7,TS
2007,Erin,1030 AUG 16,28,-96.9,TS
2007,Gabrielle,1530 SEP 09,34.8,-76.4,TS
2007,Humberto,0700 SEP 13,29.6,-94.3,1
2008,Dolly,1830 JUL 23,26.4,-97.2,1
2008,Edouard,1200 AUG 05,29.6,-94.2,TS
2008,Fay,0900 AUG 19,25.9,-81.6,TS
2008,Gustav,1500 SEP 01,29.2,-90.7,2
2008,Hanna,0720 SEP 06,33.8,-78.7,TS
2008,Ike,0700 SEP 13,29.3,-94.7,2
2009,Claudette,0530 AUG 17,30.4,-86.5,TS
2011,Don,0230 JUL 30,27.3,-97.4,TS
2011,Irene,1200 AUG 27,34.7,-76.6,1
2011,Lee,1030 SEP 04,29.6,-92.1,TS
2012,Beryl,0410 MAY 28,30.2,-81.4,TS
2012,Debby,2100 JUN 26,29.3,-83.2,TS
2012,Isaac,0800 AUG 29,29.2,-90.2,1
2012,Sandy,2330 OCT 29,39.4,-74.4,1
2013,Andrea,2200 JUN 6,29.5,-83.4,TS
2014,Arthur,0315 JUL 4,34.7,-76.6,2
2015,Ana,1000 MAY 10,33.8,-78.8,TS
2015,Bill,1645 JUN 16,28.2,-96.7,TS
2016,Colin,0200 JUN 7,29.8,-83.6,TS
2016,Hermine,0530 SEP 2,30.1,-84.1,1
2016,Matthew,1500 OCT 8,33,-79.5,1
2017,Cindy,1200 JUN 22,31,-93.5,TS
2017,Harvey,0400 AUG 26,27.8,-97.1,4
2017,Irma,1400 SEP 10,24.7,-81.6,4
2017,Nate,0600 OCT 8,31.5,-88.4,1
